date,city,price,state
1989-01-01,OR-Portland,44.26,OR
1989-01-01,TX-Dallas,,TX
1989-01-01,WA-Seattle,,WA
1989-01-01,Composite-10,77.99,Composite
1989-01-01,Composite-20,,Composite
1989-01-01,National-US,73.62,National
1989-02-01,AZ-Phoenix,67.43,AZ
1989-02-01,CA-Los Angeles,88.28,CA
1989-02-01,CA-San Diego,72.27,CA
1989-02-01,CA-San Francisco,63.32,CA
1989-02-01,CO-Denver,47.21,CO
1989-02-01,DC-Washington,87.34,DC
1989-02-01,FL-Miami,76.82,FL
1989-02-01,FL-Tampa,80.73,FL
1989-02-01,GA-Atlanta,,GA
1989-02-01,IL-Chicago,68.32,IL
1989-02-01,MA-Boston,74.59,MA
1989-02-01,MI-Detroit,,MI
1989-02-01,MN-Minneapolis,62.81,MN
1989-02-01,NC-Charlotte,70.23,NC
1989-02-01,NV-Las Vegas,69.11,NV
1989-02-01,NY-New York,83.77,NY
1989-02-01,OH-Cleveland,61.25,OH
1989-02-01,OR-Portland,44.57,OR
1989-02-01,TX-Dallas,,TX
1989-02-01,WA-Seattle,,WA
1989-02-01,Composite-10,78.36,Composite
1989-02-01,Composite-20,,Composite
1989-02-01,National-US,73.97,National
1989-03-01,AZ-Phoenix,67.71,AZ
1989-03-01,CA-Los Angeles,90.34,CA
1989-03-01,CA-San Diego,73.92,CA
1989-03-01,CA-San Francisco,64.64,CA
1989-03-01,CO-Denver,47.33,CO
1989-03-01,DC-Washington,88.14,DC
1989-03-01,FL-Miami,77.0,FL
1989-03-01,FL-Tampa,81.57,FL
1989-03-01,GA-Atlanta,,GA
1989-03-01,IL-Chicago,69.93,IL
1989-03-01,MA-Boston,74.48,MA
1989-03-01,MI-Detroit,,MI
1989-03-01,MN-Minneapolis,62.43,MN
1989-03-01,NC-Charlotte,70.52,NC
1989-03-01,NV-Las Vegas,69.97,NV
1989-03-01,NY-New York,83.27,NY
1989-03-01,OH-Cleveland,61.37,OH
1989-03-01,OR-Portland,44.56,OR
1989-03-01,TX-Dallas,,TX
1989-03-01,WA-Seattle,,WA
1989-03-01,Composite-10,79.12,Composite
1989-03-01,Composite-20,,Composite
1989-03-01,National-US,74.41,National
1989-04-01,AZ-Phoenix,67.65,AZ
1989-04-01,CA-Los Angeles,92.11,CA
1989-04-01,CA-San Diego,75.45,CA
1989-04-01,CA-San Francisco,66.27,CA
1989-04-01,CO-Denver,47.33,CO
1989-04-01,DC-Washington,88.99,DC
1989-04-01,FL-Miami,77.32,FL
1989-04-01,FL-Tampa,81.8,FL
1989-04-01,GA-Atlanta,,GA
1989-04-01,IL-Chicago,70.68,IL
1989-04-01,MA-Boston,74.63,MA
1989-04-01,MI-Detroit,,MI
1989-04-01,MN-Minneapolis,63.03,MN
1989-04-01,NC-Charlotte,70.67,NC
1989-04-01,NV-Las Vegas,69.61,NV
1989-04-01,NY-New York,82.94,NY
1989-04-01,OH-Cleveland,61.57,OH
1989-04-01,OR-Portland,45.0,OR
1989-04-01,TX-Dallas,,TX
1989-04-01,WA-Seattle,,WA
1989-04-01,Composite-10,79.83,Composite
1989-04-01,Composite-20,,Composite
1989-04-01,National-US,74.87,National
1989-05-01,AZ-Phoenix,67.9,AZ
1989-05-01,CA-Los Angeles,93.98,CA
1989-05-01,CA-San Diego,76.83,CA
1989-05-01,CA-San Francisco,67.77,CA
1989-05-01,CO-Denver,47.49,CO
1989-05-01,DC-Washington,89.62,DC
1989-05-01,FL-Miami,77.19,FL
1989-05-01,FL-Tampa,82.34,FL
1989-05-01,GA-Atlanta,,GA
1989-05-01,IL-Chicago,70.48,IL
1989-05-01,MA-Boston,74.73,MA
1989-05-01,MI-Detroit,,MI
1989-05-01,MN-Minneapolis,63.31,MN
1989-05-01,NC-Charlotte,71.13,NC
1989-05-01,NV-Las Vegas,69.64,NV
1989-05-01,NY-New York,82.97,NY
1989-05-01,OH-Cleveland,62.63,OH
